#   XYZ data converted from README.txt
#  https://sites.uef.fi/spectral/munsell-colors-glossy-all-spectrofotometer-measured/
#  adapted to Illuminant E for simplicity

"X" "Y" "Z"
"2.5R5/14" 34.2373425184681 19.7633195800726 11.0259339115558
"2.5R6/2" 31.4309664482338 29.3786409816758 27.5441859395689
"2.5R6/4" 33.9257408091772 29.467393316138 25.641930675933
"2.5R6/6" 36.6266295665507 29.5629325245313 23.6247188266648
"2.5R6/8" 39.1140291945134 29.6479811958084 21.9942363620701
"2.5R6/10" 41.9998083601485 29.7435039798517 20.3460210564429
"2.5R6/12" 45.0033913134366 29.8398739855357 18.8665803800619
"2.5R7/2" 44.4997358282268 42.0788747065494 39.7563445925949
"2.5R7/4" 47.5425621188864 42.1886969781907 37.3145598776394
"2.5R7/6" 50.8130374160094 42.3058197849483 34.7609220834586
"2.5R7/8" 54.2902897337104 42.4263876964468 32.3520971203491
"2.5R8/2" 60.1515769917726 57.7142887479049 55.3343171513007
"2.5R8/4" 64.369356147186 57.870744269806 51.6227788779854
"2.5R8/6" 68.5189307013169 58.0187022395917 48.4327876992531
"2.5R9/2" 79.6739082607122 76.8066925373487 74.0261936365454
"2.5YR2/2" 3.60524201136892 3.07425697628674 2.13447772540397
"2.5YR2/4" 4.16081014067546 3.09813025500542 1.39308747050357
"2.5YR3/2" 7.31176868788044 6.43862775149377 4.55236104863824
"2.5YR3/4" 8.13650108289167 6.47788957802821 3.15616217992426
"2.5YR3/6" 8.96805858257098 6.51440506172715 1.98593909629059
"2.5YR3/8" 9.73530714852784 6.54581789349014 1.08245048513439
"2.5YR4/2" 12.9809010920042 11.7704548679201 8.85597504312956
"2.5YR4/4" 14.2154702336492 11.8326827181743 6.49870939930982
"2.5YR4/6" 15.326469899964 11.8854584665052 4.62670094984819
"2.5YR4/8" 16.4521099377716 11.9351000637996 3.02620495689676
"2.5YR4/10" 17.4439576306808 11.9774613732929 1.7226664962152
"2.5YR5/2" 20.8316714941332 19.3614891160894 15.4410176822142
"2.5YR5/4" 22.4229819555016 19.4461161249703 12.0609256072079
"2.5YR5/6" 24.0658457303291 19.5285520271556 8.95282689492746
"2.5YR5/8" 25.7098848075574 19.6052189681583 6.29323563567188
"2.5YR5/10" 27.2030160998439 19.6710173695766 4.17407564688725
"2.5YR5/12" 28.3927016429781 19.7225931124491 2.55137268258762
"2.5YR5/14" 29.3913801501383 19.7642919632335 1.31265432407913
"2.5YR6/2" 31.3157643628497 29.4201479310749 24.1049255922202
"2.5YR6/4" 33.2657756324806 29.529509848309 19.525258032524
"2.5YR6/6" 35.3626378317512 29.6378824171434 15.3141764438401
"2.5YR6/8" 37.3729329740648 29.7351993505119 11.7859625637722
"2.5YR6/10" 39.4098306258148 29.8299224633795 8.51126347268248
"2.5YR6/12" 41.2432867641882 29.9127839757666 5.74931502019227
"2.5YR6/14" 42.8158922813653 29.9814245360615 3.56840854850834
"2.5YR6/16" 44.0269677220776 30.0334139496467 1.95625451007246
"2.5YR7/2" 44.3357116924342 42.1273016284545 35.6847938468273
"2.5YR7/4" 46.8433832360469 42.2726048025481 29.4345628853502
"2.5YR7/6" 49.4743180566148 42.4145223358033 23.6913333123448
"2.5YR7/8" 51.9710309770858 42.5410944903855 18.8679588963009
"2.5YR7/10" 54.3851779200202 42.6563623101847 14.7546442255496
"2.5YR7/12" 56.9817368267065 42.7780644618516 10.5064969969946
"2.5YR8/2" 60.1378969800703 57.776555772197 50.4913942078343
"2.5YR8/4" 63.5991868900201 57.9839140342274 41.3384794068811
"2.5YR8/6" 66.6956362092752 58.1542983819584 34.3194901844337
"2.5YR9/2" 79.7649907538115 76.8920424496502 67.6064072085579
"2.5Y2/2" 3.19990496514785 3.07030851728481 1.6336805527589
"2.5Y3/2" 6.62949632451966 6.43073600134906 3.8057436629631
"2.5Y3/4" 6.87149021465635 6.45985388236345 2.03507327699905
"2.5Y4/2" 12.0413390857147 11.7655252999238 7.36854303782999
"2.5Y4/4" 12.415690816391 11.8140177975812 4.36268990710864
"2.5Y4/6" 12.7255929346741 11.8469206059961 2.43435610329502
"2.5Y5/2" 19.7015020106457 19.3606955968726 13.2546078773837
